"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Frank Austin;Actor, Soundtrack;1877-10-09;USA;1954-05-13
Harry A. Bailey;Actor;1879-09-27;USA;1954-08-09
Tommy Baker;Actor;1925-03-05;USA;1995-11-18
Kathryn Bates;Actress;1877-09-23;USA;1964-01-01
Brooks Benedict;Actor;1896-02-06;USA;1968-01-01
Wilson Benge;Actor;1875-03-01;UK;1955-07-01
Wade Boteler;Actor, Writer;1888-10-03;USA;1943-05-07
Harry C. Bradley;Actor;1869-04-15;USA;1947-10-18
Lynton Brent;Actor, Writer;1897-08-02;USA;1981-07-12
Ed Brewer;Actor;NA;NA;NA
Al Bridge;Actor, Writer;1891-02-26;USA;1957-12-27
Harlan Briggs;Actor, Miscellaneous Crew;1879-08-17;USA;1952-01-26
Tommy Bupp;Actor, Soundtrack;1924-02-10;USA;1983-12-24
Harry Burkhardt;Actor;1870-09-27;USA;1943-09-18
Frederick Burton;Actor;1871-10-20;USA;1957-10-23
Georgia Caine;Actress;1876-10-30;USA;1964-04-04
Ken Carpenter;Actor;1900-08-21;USA;1984-10-16
Jack Carson;Actor, Soundtrack;1910-10-27;Canada;1963-01-02
Burr Caruth;Actor;1865-06-15;USA;1953-06-02
Maurice Cass;Actor, Soundtrack;1884-10-12;Russian Empire [now Lithuania];1954-06-08
Allan Cavan;Actor;1880-03-25;USA;1941-01-19
Eddy Chandler;Actor, Assistant Director;1894-03-12;USA;1948-03-23
George Chandler;Actor, Soundtrack;1898-06-30;USA;1985-06-10
Davison Clark;Actor;1881-01-15;USA;1972-11-04
Dora Clement;Actress;1891-05-30;USA;1979-05
Richard Clucas;Actor, Miscellaneous Crew;1927-10-18;USA;2011-02-19
Shirley Coates;Actress;1927;Canada;NA
Edmund Cobb;Actor, Soundtrack;1892-06-23;USA;1974-08-15
Eddie Coke;Actor;1913-09-29;USA;1985-11-16
Dorothy Comingore;Actress, Soundtrack;1913-08-24;USA;1971-12-30
Chester Conklin;Actor;1886-01-11;USA;1971-10-11
Hal Cooke;Actor;NA;NA;NA
George Cooper;Actor, Soundtrack, Writer;1892-12-12;USA;1943-12-09
Georgie Cooper;Actress;1882-07-31;USA;1968-09-03
Jack Cooper;Actor;1890-01-25;UK;1970-01-12
Nick Copeland;Actor;1894-10-14;USA;1940-08-17
Anne Cornwall;Actress;1897-01-17;USA;1980-03-02
Gino Corrado;Actor, Soundtrack;1893-02-09;Italy;1982-12-23
Maurice Costello;Actor, Director, Writer;1877-02-22;USA;1950-10-28
Tatsuya Nakadai;Actor;1932-12-13;Japan [some sources say 1930];NA
Akira Terao;Actor;1947-05-18;Japan;NA
Jinpachi Nezu;Actor;1947-12-01;Japan;NA
Daisuke Ryu;Actor;1957-02-14;Japan;NA
Mieko Harada;Actress, Writer, Art Department;NA;NA;NA
Yoshiko Miyazaki;Actress;1958-12-11;Japan;NA
Hisashi Igawa;Actor;1936-11-17;Occupied Manchuria (China);NA
Pîtâ;Actor;1952-08-08;Japan;NA
Masayuki Yui;Actor, Writer, Producer;1947;Japan;NA
Kazuo Katô;Actor;1928-01-01;Japan;NA
Norio Matsui;Actor;1951-04-15;Japan;NA
Toshiya Ito;Actor;1947-10-08;Japan;NA
Kenji Kodama;Actor;1932-06-03;Japan;NA
Takashi Watanabe;Actor;NA;NA;NA
Mansai Nomura;Actor;1966-04-05;Japan;NA
Takeshi Katô;Actor, Miscellaneous Crew;1929-05-24;Japan;NA
Jun Tazaki;Actor;1910-08-19;NA;1985-10-18
Hitoshi Ueki;Actor, Soundtrack;1927-02-25;Japan;2007-03-27
Takao Zushi;Actor;1946-06-25;Japan;2005-04-01
Steve Martin;Writer, Actor, Soundtrack;1945-08-14;USA;NA
Bonnie Hunt;Producer, Writer, Actress;1961-09-22;USA;NA
Piper Perabo;Actress, Producer;1976-10-31;USA;NA
Tom Welling;Actor, Producer, Director;1977-04-26;USA;NA
Hilary Duff;Actress, Soundtrack, Music Department;1987-09-28;USA;NA
Kevin G. Schmidt;Actor, Producer, Writer;1988-08-16;USA;NA
Alyson Stoner;Actress, Soundtrack, Miscellaneous Crew;1993-08-11;USA;NA
Jacob Smith;Actor;1990-01-21;USA;NA
Liliana Mumy;Actress, Soundtrack;1994-04-16;USA;NA
Morgan York;Actress;1993-01-18;USA;NA
Forrest Landis;Actor;1994-08-09;USA;NA
Blake Woodruff;Actor, Stunts;1995-06-19;USA;NA
Brent Kinsman;Actor;1997-11-13;USA;NA
Shane Kinsman;Actor;1997-11-13;USA;NA
Paula Marshall;Actress, Camera Department, Producer;1964-06-12;USA;NA
Steven Anthony Lawrence;Actor;1990-07-19;USA;NA
Alan Ruck;Actor, Soundtrack;1956-07-01;USA;NA
Richard Jenkins;Actor;1947-05-04;USA;NA
Holmes Osborne;Actor;1947-11-07;USA;NA
Vanessa Bell Calloway;Actress, Producer, Writer;1957-03-20;USA;NA
Rex Linn;Actor, Miscellaneous Crew, Producer;1956-11-13;USA;NA
David Kelsey;Actor, Producer;1966-08-04;USA;NA
Dax Shepard;Actor, Director, Writer;1975-01-02;USA;NA
Iko Uwais;Actor, Stunts;NA;NA;NA
Arifin Putra;Actor;NA;NA;NA
Tio Pakusodewo;Actor;1963-09-02;Indonesia;NA
Oka Antara;Actor;1981-07-08;Indonesia;NA
Alex Abbad;Actor;NA;NA;NA
Cecep Arif Rahman;Actor;NA;NA;NA
Julie Estelle;Actress;1989-01-04;Indonesia;NA
Very Tri Yulisman;Actor;NA;NA;NA
Ryuhei Matsuda;Actor;1983-05-09;Japan;NA
Ken'ichi Endô;Actor, Writer;1961-06-28;Japan;NA
Kazuki Kitamura;Actor;1969-07-17;Japan;NA
Yayan Ruhian;Actor, Stunts;NA;NA;NA
Cok Simbara;Actor;1953-11-12;Indonesia;NA
Roy Marten;Actor;1952-03-01;Indonesia;NA
Epy Kusnandar;Actor;NA;NA;NA
Zack Lee;Actor;NA;NA;NA
Deddy Sutomo;Actor;NA;NA;NA
Marsha Timothy;Actress;1979-01-08;Indonesia;NA
Donny Alamsyah;Actor;1978-12-07;Indonesia;NA
Mike Lucock;Actor;NA;NA;NA
Henky Solaiman;Actor, Director;NA;NA;NA
Haryadi Anwar;Actor;NA;NA;NA
Pong Harjatmo;Actor;NA;NA;NA
Aditya Antika;Actor;NA;NA;NA
Patria Sandya Mustika;Actress;NA;NA;NA
Tegar Satrya;Actor;NA;NA;NA
Fikha Effendi;Actress;NA;NA;NA
Thomas Nawilis;Actor, Director;NA;NA;NA
Mulyadi Marlon;Actor;NA;NA;NA
Hari Pratama Lubis;Actor;NA;NA;NA
Suwardi;Actor, Miscellaneous Crew;NA;NA;NA
Ardani;Actor;NA;NA;NA
Ferouz Ahmad Fero;Actor;NA;NA;NA
Jason Statham;Actor, Producer;1967-07-26;UK;NA
Ray Liotta;Actor, Producer, Soundtrack;1954-12-18;USA;NA
Vincent Pastore;Actor, Producer;1946-07-14;USA;NA
André Benjamin;Soundtrack, Actor, Writer;1975-05-27;USA;NA
Terence Maynard;Actor;1969;UK;NA
Andrew Howard;Actor, Producer, Writer;1969;UK;NA
Mark Strong;Actor;1963-08-05;UK;NA
Francesca Annis;Actress;1945-05-14;UK;NA
Mem Ferda;Actor, Producer, Writer;1963-10-30;UK;NA
Anjela Lauren Smith;Actress, Writer, Producer;1978-06-27;UK;NA
Elana Binysh;Actress;1993-07-27;UK;NA
Shend;Actor;1957-11-17;UK;NA
Bill Moody;Actor, Director, Writer;1949-07-13;USA;2012-06-08
Stephen Walters;Actor;NA;NA;NA
Vincent Riotta;Actor, Miscellaneous Crew;NA;NA;NA
Tom Wu;Actor, Stunts;NA;NA;NA
Ian Puleston-Davies;Actor, Writer;1958-09-06;UK;NA
Jimmy Flint;Actor;NA;NA;NA
Brian Hibbard;Actor, Miscellaneous Crew;1946-11-25;UK;2012-06-17
Bruce Wang;Actor;NA;NA;NA
Tony Tang;Actor;NA;NA;NA
George Sweeney;Actor;NA;NA;NA
Martin Herdman;Actor;NA;NA;NA
Tony Denham;Actor;NA;NA;NA
Serge Soric;Actor;1961-10-15;UK;NA
